id,case_id,window,h_value,h_se,two_h_value,two_h_se,four_h_value,four_h_se,richardson_value,richardson_se,richardson_prime_value,richardson_prime_se,fine_gap_value,fine_gap_se,coarse_gap_value,coarse_gap_se,residual_value,residual_se,b_r
core-PV:u_xx,core-PV,2,0.500103719078119,0.00019710847156363207,0.5001037190781191,0.00019710847156363196,0.5001037190781191,0.000197108471563632,0.5001037190781189,0.000197108471563632,0.5001037190781191,0.00019710847156363182,-1.1102230246251565e-16,0.0,0.0,0.0,-3.3306690738754696e-16,0.0,3.3306690738754696e-16
core-PV:speed,core-PV,0,2.185100428081213,0.0010522843550726392,2.1883456181279843,0.001053565938433123,2.1948512240481346,0.0010561451504564514,2.1818552380344416,0.0010510067231897916,2.181840012207834,0.0010510026802286556,-0.0032451900467713735,2.4073798340532156e-06,-0.006505605920150259,4.839391881384288e-06,1.522582660751226e-05,5.1089500361357185e-06,2.838560982070803e-05
core-PV:speed,core-PV,1,2.1844516508835956,0.0012889216801598553,2.1876962014964647,0.0012904890653224507,2.194198849495059,0.001293658573262283,2.1812071002707265,0.0012873591378078264,2.1811935534978706,0.0012873389865767431,-0.0032445506128691015,2.9480707178499143e-06,-0.006502647998594124,5.920941724793606e-06,1.354677285547723e-05,6.233330796735846e-06,2.960276898011842e-05
core-PV:speed,core-PV,2,2.1844380610142515,0.001468790442968481,2.187680491367791,0.0014705823377908975,2.194179768184557,0.0014741918497709627,2.181195630660712,0.001467004051967259,2.1811812145510254,0.0014669948545707634,-0.0032424303535396604,3.359315391891528e-06,-0.006499276816765764,6.7338259238432e-06,1.441610968644369e-05,7.090384749256034e-06,3.267973049666688e-05
core-PV:spatial,core-PV,0,2.2503394158945924,0.004043983204440709,2.250109290483879,0.004044291252649684,2.2496680257773853,0.004045002778633922,2.250569541305306,0.004043678260399155,2.2505505551903724,0.004043592333803163,0.0002301254107135442,3.556282214278376e-06,0.0004412647064935271,7.175257150687866e-06,1.8986114931784925e-05,8.818845320664005e-06,4.170195513178512e-05
core-PV:spatial,core-PV,1,2.249353154510182,0.004926124465809316,2.249124663723227,0.004926510975780847,2.2486816917282426,0.004927372235779944,2.249581645297137,0.0049257417368236125,2.2495676357182117,0.004925665032535487,0.00022849078695497127,4.332844620682209e-06,0.0004429719949845534,8.728507878490296e-06,1.4009578924945032e-05,1.0710600990567117e-05,4.159825881454394e-05
core-PV:spatial,core-PV,2,2.250624381865688,0.005561731070407942,2.2503942552961105,0.005562100839856581,2.249944475344628,0.005563080807442299,2.250854508435266,0.00556136562031201,2.250844035247593,0.005561138300846734,0.00023012656957765998,4.915101197781256e-06,0.00044977995148265393,9.893578998113287e-06,1.0473187672666029e-05,1.2144741838280135e-05,4.175596958315046e-05
core-PV:raw_msd,core-PV,0,2.2503386888143604,0.004043936360371051,2.2501085599447013,0.004044244427788451,2.2496673063113457,0.004044955915017351,2.2505688176840195,0.004043631397155294,2.250549813578057,0.004043545547790185,0.0002301288696591186,3.5562828826152658e-06,0.000441253633355565,7.17523838670654e-06,1.9004105962672213e-05,8.81883061195839e-06,4.171990827555747e-05
core-PV:raw_msd,core-PV,1,2.249352847589524,0.004926052995753556,2.2491243525492406,0.004926439502223217,2.248681395294725,0.004927300773542192,2.2495813426298072,0.00492567027038345,2.2495673098037563,0.004925593547950762,0.00022849504028332746,4.332877769711267e-06,0.0004429572545157079,8.728528884549205e-06,1.4032826050502933e-05,1.0710623725013343e-05,4.162156450015463e-05
core-PV:raw_msd,core-PV,2,2.2506257797268945,0.005561659897719072,2.250395650179975,0.0055620296416889195,2.2499458874656773,0.005563009645875402,2.250855909273814,0.005561294473247485,2.2508454128942725,0.005561067066361271,0.00023012954691958853,4.9151503616918444e-06,0.00044976271429764125,9.893599405264938e-06,1.0496379541535816e-05,1.2144779201452064e-05,4.1779257693173374e-05
